Element Id,Category,Type Name,Family Name,X,Y,Z,CED-E-MCA,CED-E-MOCP,MCA_CED,MOCP_CED
4918537,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,202.2105445421214,105.98002349016586,100.00000000000077,,,,
4918664,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,197.61510033827267,58.657380168714177,100.00000000000077,,,,
4918665,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,197.60379735093591,71.438630168714056,100.00000000000077,,,,
4918666,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,197.61510033827261,84.219880168714056,100.00000000000077,,,,
4918667,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,197.61510033827258,97.001130168714056,100.00000000000077,,,,
4918668,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,197.61510033827255,105.98002349016585,100.00000000000077,,,,
4918756,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,219.16887787545494,58.65738016871412,100.00000000000077,,,,
4918757,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,219.1801808627917,71.438630168713999,100.00000000000077,,,,
4918758,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,219.168877875455,84.219880168713999,100.00000000000077,,,,
4918759,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,219.16887787545502,97.001130168713999,100.00000000000077,,,,
4918760,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,219.16887787545505,105.98002349016581,100.00000000000077,,,,
4918761,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,214.57343367160632,58.65738016871412,100.00000000000077,,,,
