Count,Name,Position X,Position Y,Position Z,Rotation,#,#(1),#(2),CSV_CLEANED
1,ADA Door,"-1360'-3 1/2""","71'-7 1/8""","0'-0""",270.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","92'-9 1/16""","0'-0""",0.00,,,,true
1,10' length,"-1417'-9 1/8""","98'-5 5/16""","0'-0""",90.00,,,,true
1,dynamic_lockers,"-1375'-10 3/16""","110'-0 9/16""","0'-0""",180.00,,,,true
1,dynamic_lockers,"-1378'-1 9/16""","132'-1 15/16""","0'-0""",270.00,,,,true
1,ADA Door,"-1328'-8 5/16""","169'-9 7/16""","0'-0""",270.00,,,,true
1,Swing-90,"-1328'-8 5/16""","169'-9 7/16""","0'-0""",90.00,,,,true
1,dynamic_lockers,"-1375'-10 3/16""","91'-2 5/16""","0'-0""",180.00,,,,true
1,Magnum Half Rach MG-A690 with Landmine,"-1338'-7 3/8""","131'-8 1/16""","0'-0""",180.00,,,,true
1,HOOK,"-1366'-7 5/16""","106'-11 1/16""","0'-0""",180.00,,,,true
1,Swing-90,"-1328'-8 5/16""","86'-9 1/16""","0'-0""",270.00,,,,true
1,EX'G WALL TOILET,"-1369'-0 13/16""","101'-10 5/8""","0'-0""",180.00,,,,true
1,ADA Door,"-1365'-0 1/8""","110'-5 1/8""","0'-0""",180.00,,,,true
1,Swing-90,"-1361'-11 3/8""","110'-8 1/8""","0'-0""",180.00,,,,true
1,HOOK,"-1366'-7 5/16""","94'-3 7/8""","0'-0""",0.00,,,,true
1,EX'G WALL TOILET,"-1369'-0 13/16""","99'-4 5/16""","0'-0""",0.00,,,,true
1,Sink-Bradley_Corp-Express-TLX1-Faucet-Soap - Express TLX-1 Faucet-Soap-799460-PLAN,"-1363'-7 5/16""","97'-10 5/16""","0'-0""",0.00,,,,true
1,ADA Door,"-1364'-11 9/16""","90'-9 13/16""","0'-0""",0.00,,,,true
1,Swing-90,"-1361'-10 13/16""","90'-6 13/16""","0'-0""",180.00,,,,true
1,Sink-Bradley_Corp-Express-TLX1-Faucet-Soap - Express TLX-1 Faucet-Soap-799460-PLAN,"-1363'-7 5/16""","103'-4 5/8""","0'-0""",180.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1401'-11 1/2""","134'-10 7/8""","0'-0""",0.00,,,,true
1,ADA Door,"-1328'-8 5/16""","86'-9 1/16""","0'-0""",270.00,,,,true
1,CLEARANCE,"-1426'-2 1/8""","151'-4 1/8""","0'-0""",270.00,,,,true
1,5' LENGTH,"-1417'-9 1/8""","90'-11 5/16""","0'-0""",90.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1413'-8 13/16""","99'-7 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1413'-8 13/16""","96'-2 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1413'-8 13/16""","89'-4 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1413'-8 13/16""","92'-9 1/16""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1413'-8 13/16""","124'-7 7/8""","0'-0""",0.00,,,,true
1,Treadmill (T5X-5PL-PF),"-1413'-8 13/16""","121'-2 7/8""","0'-0""",0.00,,,,true
1,dynamic_lockers,"-1371'-9 9/16""","100'-7 7/16""","0'-0""",270.00,,,,true
1,5' LENGTH,"-1417'-9 1/8""","122'-5 5/8""","0'-0""",90.00,,,,true
1,Elliptical (E5X-5PL-PF),"-1414'-3 5/16""","133'-6 7/8""","0'-0""",90.00,,,,true
1,Elliptical (E5X-5PL-PF),"-1414'-3 5/16""","130'-6 7/8""","0'-0""",90.00,,,,true
1,Elliptical (E5X-5PL-PF),"-1414'-3 5/16""","127'-6 7/8""","0'-0""",90.00,,,,true
1,Ascent (ALB5X-PF-4PL),"-1414'-3 5/16""","148'-6 7/8""","0'-0""",90.00,,,,true
1,Ascent (ALB5X-PF-4PL),"-1414'-3 5/16""","145'-6 7/8""","0'-0""",90.00,,,,true
1,Rower (ROWER-5PL-PF),"-1424'-8 5/8""","145'-1 7/8""","0'-0""",90.00,,,,true
1,Rower (ROWER-5PL-PF),"-1424'-8 5/8""","141'-8 7/8""","0'-0""",90.00,,,,true
1,Elliptical (E5X-5PL-PF),"-1414'-3 5/16""","136'-6 7/8""","0'-0""",90.00,,,,true
1,10' length,"-1393'-6 13/16""","99'-5 5/16""","0'-0""",90.00,,,,true
1,Room Name 105K ROOM MECHANICAL,"-1372'-2 3/16""","120'-8 3/8""","0'-0""",0.00,105K,ROOM,MECHANICAL,true
1,F3,"-1368'-7 13/16""","108'-11 1/16""","0'-0""",0.00,,,,true
1,E1,"-1398'-9 5/8""","154'-7 1/8""","0'-0""",270.00,,,,true
1,E1,"-1398'-9 5/8""","155'-11 3/8""","0'-0""",90.00,,,,true
1,E1,"-1379'-1 9/16""","145'-7 1/4""","0'-0""",180.00,,,,true
1,E1,"-1377'-9 5/16""","145'-7 1/4""","0'-0""",0.00,,,,true
1,F13,"-1336'-10 1/4""","184'-7 11/16""","0'-0""",90.00,,,,true
1,F13,"-1377'-10 1/16""","184'-7 11/16""","0'-0""",270.00,,,,true
1,F13,"-1364'-2 1/8""","184'-7 11/16""","0'-0""",90.00,,,,true
1,E1,"-1424'-6 7/8""","175'-8 3/16""","0'-0""",270.00,,,,true
1,F13,"-1336'-10 1/4""","201'-7 11/16""","0'-0""",90.00,,,,true
1,F13,"-1377'-10 1/16""","201'-7 11/16""","0'-0""",270.00,,,,true
1,F13,"-1364'-2 1/8""","201'-7 11/16""","0'-0""",90.00,,,,true
1,FAN 1,"-1413'-1 13/16""","99'-3 15/16""","0'-0""",0.00,,,,true
1,SPEAKER,"-1447'-1 13/16""","117'-3 15/16""","0'-0""",0.00,,,,true
1,SPEAKER,"-1447'-1 13/16""","81'-3 15/16""","0'-0""",0.00,,,,true
1,SPEAKER,"-1396'-1 13/16""","135'-3 15/16""","0'-0""",0.00,,,,true
1,SPEAKER,"-1396'-1 13/16""","99'-3 15/16""","0'-0""",0.00,,,,true
1,F13,"-1350'-6 3/16""","201'-7 11/16""","0'-0""",270.00,,,,true
1,E1,"-1425'-5 1/4""","54'-6 15/16""","0'-0""",0.00,,,,true
1,E1,"-1330'-2 13/16""","88'-3 13/16""","0'-0""",180.00,,,,true
1,F1,"-1433'-6 7/8""","54'-11 3/8""","0'-0""",180.00,,,,true
1,F9,"-1363'-5 3/16""","82'-1 7/16""","0'-0""",0.00,,,,true
1,F9,"-1363'-5 3/16""","70'-1 7/16""","0'-0""",0.00,,,,true
1,F9,"-1369'-5 3/16""","76'-1 7/16""","0'-0""",0.00,,,,true
1,F9,"-1369'-5 3/16""","82'-1 7/16""","0'-0""",0.00,,,,true
1,F9,"-1369'-5 3/16""","70'-1 7/16""","0'-0""",0.00,,,,true
1,E5,"-1345'-4 5/16""","71'-4 7/16""","0'-0""",0.00,,,,true
1,F3,"-1333'-6 1/4""","69'-3 9/16""","0'-0""",0.00,,,,true
1,E1,"-1432'-2 11/16""","51'-11 5/8""","0'-0""",90.00,,,,true
1,F3,"-1333'-6 1/4""","63'-3 9/16""","0'-0""",0.00,,,,true
1,F3,"-1358'-10 13/16""","58'-9 1/4""","0'-0""",0.00,,,,true
1,F3,"-1358'-10 13/16""","54'-9 1/4""","0'-0""",0.00,,,,true
1,F3,"-1351'-5 15/16""","58'-9 1/4""","0'-0""",0.00,,,,true
1,F3,"-1351'-5 15/16""","54'-9 1/4""","0'-0""",0.00,,,,true
1,F3,"-1342'-7 1/16""","58'-9 1/4""","0'-0""",0.00,,,,true
1,F3,"-1342'-7 1/16""","54'-9 1/4""","0'-0""",0.00,,,,true
1,F1,"-1429'-6 7/8""","54'-11 3/8""","0'-0""",180.00,,,,true
1,F3,"-1333'-6 1/4""","57'-3 9/16""","0'-0""",0.00,,,,true
1,F9,"-1363'-5 3/16""","76'-1 7/16""","0'-0""",0.00,,,,true
1,E1,"-1330'-2 13/16""","168'-2 11/16""","0'-0""",180.00,,,,true
1,SPEAKER,"-1402'-10 5/16""","165'-9 3/4""","0'-0""",0.00,,,,true
1,E1,"-1374'-9 13/16""","84'-1 3/8""","0'-0""",270.00,,,,true
1,F3,"-1374'-7 15/16""","100'-7 7/16""","0'-0""",0.00,,,,true
1,F3,"-1374'-7 15/16""","106'-7 7/16""","0'-0""",0.00,,,,true
1,F3,"-1374'-7 15/16""","94'-7 7/16""","0'-0""",0.00,,,,true
1,F3,"-1371'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,F3,"-1365'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,F3,"-1359'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,F3,"-1346'-11 9/16""","92'-9 13/16""","0'-0""",0.00,,,,true
1,F3,"-1353'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,F3,"-1341'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,BCS Speaker,"-1357'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,F9,"-1368'-10 3/4""","121'-2 1/16""","0'-0""",0.00,,,,true
1,F3,"-1375'-0 1/16""","87'-6 3/8""","0'-0""",0.00,,,,true
1,F3,"-1369'-0 1/16""","113'-8 1/16""","0'-0""",0.00,,,,true
1,F9,"-1347'-4 5/16""","71'-4 7/16""","0'-0""",0.00,,,,true
1,F9,"-1341'-4 5/16""","71'-4 7/16""","0'-0""",0.00,,,,true
1,F3,"-1347'-1 1/8""","64'-8 9/16""","0'-0""",0.00,,,,true
1,SPEAKER,"-1353'-2 9/16""","151'-2""","0'-0""",0.00,,,,true
1,F3,"-1342'-11 9/16""","96'-9 13/16""","0'-0""",0.00,,,,true
1,F3,"-1358'-0 13/16""","108'-5""","0'-0""",0.00,,,,true
1,SPEAKER,"-1400'-4 1/4""","186'-10 7/16""","0'-0""",0.00,,,,true
1,E1,"-1341'-2 3/16""","177'-2 3/16""","0'-0""",90.00,,,,true
1,E2,"-1446'-11""","145'-6""","0'-0""",0.00,,,,true
1,E2,"-1446'-11""","86'-0 9/16""","0'-0""",0.00,,,,true
1,E2,"-1402'-2 13/16""","86'-0 9/16""","0'-0""",270.00,,,,true
1,E2,"-1408'-9 15/16""","54'-6 15/16""","0'-0""",180.00,,,,true
1,Room Name 106B STORAGEAREA BACK OF HOUSE,"-1447'-10 3/8""","199'-2 1/8""","0'-0""",0.00,106B,STORAGEAREA,BACK OF HOUSE,true
1,F3,"-1342'-11 9/16""","92'-9 13/16""","0'-0""",0.00,,,,true
1,F13,"-1428'-10 11/16""","199'-4 13/16""","0'-0""",90.00,,,,true
1,F13,"-1407'-11 3/16""","205'-9 3/16""","0'-0""",90.00,,,,true
1,F13,"-1392'-11 1/16""","205'-9 3/16""","0'-0""",90.00,,,,true
1,E1,"-1400'-8""","177'-2 3/16""","0'-0""",90.00,,,,true
1,E2,"-1424'-5 1/16""","204'-7 15/16""","0'-0""",270.00,,,,true
1,E1,"-1424'-6 7/8""","177'-2 3/16""","0'-0""",270.00,,,,true
1,F3,"-1354'-0 13/16""","104'-5""","0'-0""",0.00,,,,true
1,F3,"-1354'-0 13/16""","108'-5""","0'-0""",0.00,,,,true
1,F13,"-1400'-5 1/8""","205'-9 3/16""","0'-0""",90.00,,,,true
1,F3,"-1368'-7 13/16""","92'-3 7/8""","0'-0""",0.00,,,,true
1,F9,"-1356'-0 11/16""","71'-4 7/16""","0'-0""",0.00,,,,true
1,E1,"-1377'-9 5/16""","113'-8 1/16""","0'-0""",0.00,,,,true
1,F3,"-1346'-11 9/16""","108'-5 1/16""","0'-0""",0.00,,,,true
1,F3,"-1354'-0 13/16""","92'-9 13/16""","0'-0""",0.00,,,,true
1,F3,"-1354'-0 13/16""","96'-9 13/16""","0'-0""",0.00,,,,true
1,F3,"-1358'-0 13/16""","92'-9 13/16""","0'-0""",0.00,,,,true
1,F3,"-1352'-0 3/16""","81'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1352'-0 3/16""","77'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1358'-1 1/16""","81'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1342'-11 9/16""","108'-5 1/16""","0'-0""",0.00,,,,true
1,F3,"-1358'-1 1/16""","77'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1344'-2 3/8""","77'-11 7/8""","0'-0""",0.00,,,,true
